date,close
22-Feb-19,2
20-Feb-19,1
19-Feb-19,2
18-Feb-19,6
15-Feb-19,4
14-Feb-19,1
13-Feb-19,2
12-Feb-19,2
06-Feb-19,2
05-Feb-19,1
04-Feb-19,2
31-Jan-19,2
30-Jan-19,1
25-Jan-19,1
23-Jan-19,1
